EmployeeID,ManagerID,FirstName,LastName,FullName,JobTitle,OrganizationLevel,MaritalStatus,Gender,Territory,Country,Group
274,,Stephen,Jiang,StephenJiang,NorthAmericanSalesManager,2,M,M,,,
275,274,Michael,Blythe,MichaelBlythe,SalesRepresentative,3,S,M,Northeast,US,NorthAmerica
276,274,Linda,Mitchell,LindaMitchell,SalesRepresentative,3,M,F,Southwest,US,NorthAmerica
277,274,Jillian,Carson,JillianCarson,SalesRepresentative,3,S,F,Central,US,NorthAmerica
278,274,Garrett,Vargas,GarrettVargas,SalesRepresentative,3,M,M,Canada,CA,NorthAmerica
279,274,Tsvi,Reiter,TsviReiter,SalesRepresentative,3,M,M,Southeast,US,NorthAmerica
280,274,Pamela,Ansman-Wolfe,PamelaAnsman-Wolfe,SalesRepresentative,3,S,F,Northwest,US,NorthAmerica
281,274,Shu,Ito,ShuIto,SalesRepresentative,3,M,M,Southwest,US,NorthAmerica
282,274,JosÈ,Saraiva,JosÈSaraiva,SalesRepresentative,3,M,M,Canada,CA,NorthAmerica
283,274,David,Campbell,DavidCampbell,SalesRepresentative,3,S,M,Northwest,US,NorthAmerica
284,274,Tete,Mensa-Annan,TeteMensa-Annan,SalesRepresentative,3,M,M,Northwest,US,NorthAmerica
285,,Syed,Abbas,SyedAbbas,PacificSalesManager,2,M,M,,,
286,285,Lynn,Tsoflias,LynnTsoflias,SalesRepresentative,3,S,F,Australia,AU,Pacific
287,,Amy,Alberts,AmyAlberts,EuropeanSalesManager,2,M,F,,,
288,287,Rachel,Valdez,RachelValdez,SalesRepresentative,3,S,F,Germany,DE,Europe
289,287,Jae,Pak,JaePak,SalesRepresentative,3,M,F,UnitedKingdom,GB,Europe
290,287,Ranjit,VarkeyChudukatil,RanjitVarkeyChudukatil,SalesRepresentative,3,S,M,France,FR,Europe
